# 137,cat137 -># 406,cat406|Топоры
#1|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм              |137|21645| 429,00| 414,00| 398,00||norow|| СИБРТЕХ <span class="art">арт. 21645</span>|</span></p><UL><LI>Полотно выполнено из стали марки <b>У8</b>.<LI>Рабочая кромка заточена под углом <b>20-30°</b> и имеет твердость в пределах 25 мм от кромки <b>48-57 HRC</b>.<LI>Фибергласовое топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>410 мм</b>, общий вес <b>1.18 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/21645.jpg|/img/pic/instr/big/21645.jpg
#0|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм СИБРТЕХ      |137|21645| 429,00| 414,00| 398,00||
#1|Топор кованый 1.25 кг с фиберглассовым обрезиненным топорищем    |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX <span class="art">арт. 39-1-012</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>400 мм</b>, общий вес <b>1.63 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
 1|Клещи вязальные                          |131|17354   |1090|1020|980|||| TRUPER, 275 мм <span class=art>арт. 17354</span>|</span></p><UL><LI>Предназначены для скручивания и перекусывания арматурной проволоки и для работы с деревянной опалубкой.<LI>Изготовлены из кованой стали CrV, которая в два раза прочнее углеродистой стали.<LI>Комфортные рукоятки. Сатинированное покрытие металлической части, защищающее от коррозии.</UL><p><span class="addt">||/img/pic/instr/small/trup_vjazalnye_kleshhi.jpg|/img/pic/instr/big/trup_vjazalnye_kleshhi.jpg
 0|Клещи строительные 250&nbsp;мм           |131|K250    | 180| 170|160||norow
 1|Клещи строительные 180&nbsp;мм           |131|K180    | 220| 210|205|||Клещи строительные||||/img/pic/instr/small/Kleschi stroitelnye ( all )h.jpg|/img/pic/instr/big/Kleschi stroitelnye ( all ).jpg
 0|Клещи строительные 250&nbsp;мм           |131|K250    | 290| 280|270||
#1|Клещи BLACK HEAD, 200 мм SPARTA          |131|179385  | 215| 205|195||norow ltd one|Клещи торцевые| "Black Head" SPARTA, обрезиненные рукоятки|</span></p><UL><LI>Изготовлены из углеродистой стали.<LI>Твердость режущих кромок – 58 HRc.<LI>Рукоятки покрыты ПВХ.</UL><p><span class="addt">||/img/pic/instr/small/kles_bh.jpg|/img/pic/instr/big/jpg
#0|Клещи торцевые BLACK HEAD 160 мм         |131|179345  | 215| 205|195
#0|Клещи торцевые BLACK HEAD 200 мм         |131|179385  | 245| 225|215
 1|Клещи для снятия изоляции 160 мм         |131|34-6-416| 189| 182|175|||| HOBBI <span class=art>арт. 34-6-416</span>|</span><span class="for">Для снятия изоляции с кабелей и проводов</span></p><UL><LI>Изготовлены из высокоуглеродистой стали с пластиковой рукояткой.<LI>Эргономичные рукоятки создают максимальное удобство при работе.</UL><p><span class="addt">||/img/pic/instr/small/34-6-416.jpg|/img/pic/instr/big/34-6-416.jpg
 0|Клещи для снятия изоляции 160 мм HOBBI   |131|34-6-416| 189| 182|175

# 256,cat256|Отвертки
 1|Отвертки|256||||||norow|| СИБРТЕХ, CrV, 2-комп. рукоятка|</span><span class="for">Для монтажа/демонтажа резьбовых соединений</span></p><UL><LI>Отвертки изготовлены из высококачественной <b>хромованадиевой стали</b>.<LI>Твердость рабочей части составляет <b>50-54</b> HRC, жало <b>намагничено</b>.<LI>Двухкомпонентная рукоятка с отверстием для подвески удобно и надежно фиксируется в руке.</UL><p><span class="addt">||/img/pic/instr/small/11845.jpg|/img/pic/instr/big/11845.jpg
 0|Отвертка крестовая СИБРТЕХ PH 2 х 100 мм             |256|11845   |63,98| 62| 60|
 0|Отвертка плоская   СИБРТЕХ SL 3 х  80 мм             |256|11855   |42,98| 41| 40|
 1|Отвертка крестовая HOBBI "Driver" PH 1 х 100 мм      |256|33-6-801|49,98| 47| 46||norow|Отвертки ударные| HOBBI "Driver" CrV|||/img/pic/instr/small/OTVERTKI-DRIVER.jpg|/img/pic/instr/big/OTVERTKI-DRIVER.jpg
 0|Отвертка плоская HOBBI "Driver" SL 3 х &nbsp; 75 мм  |256|33-6-801|49,98| 47| 46|
 0|Отвертка плоская HOBBI "Driver" SL 5 х       100 мм  |256|33-6-802|57,98| 56| 54|
 0|Отвертка плоская HOBBI "Driver" SL 6 х       100 мм  |256|33-6-804|63,98| 62| 60|
 0|Отвертка плоская HOBBI "Driver" SL 8 х       150 мм  |256|33-6-805|99,98| 97| 95|
 0|Отвертка крестовая HOBBI "Driver" PH 0 х &nbsp; 75 мм|256|33-6-811|39,98| 37| 36|
 0|Отвертка крестовая HOBBI "Driver" PH 1 х       100 мм|256|33-6-812|49,98| 47| 46|
 0|Отвертка крестовая HOBBI "Driver" PH 2 х       100 мм|256|33-6-814|63,98| 62| 60|
 0|Отвертка крестовая HOBBI "Driver" PH 2 х       150 мм|256|33-6-815|69,98| 62| 60|
 0|Отвертка крестовая HOBBI "Driver" PH 3 х       150 мм|256|33-6-816|98,98| 97| 95|
#0|Отвертка плоская SPARTA "Point" SL 5 х       100 мм  |256|11766   | 33| 32| 30||blue
#1|Отвертка плоская   MATRIX "Era" PH 1 х  75 мм        |256|12054   | 69| 66| 62||norow|Отвертки, <strong>намагниченное жало</strong>| MATRIX "Era"|</span></p><UL><LI>Жало изготовлено из высококачественной хромованадиевой стали.<LI>Рабочая часть отвертки имеет индукционную закалку 50 HRC, что предотвращает быстрое стирание и залом шлица, а также <abbr title="Фосфатирование - создание химическим путём на поверхности металлических изделий плёнки нерастворимых фосфатов, предохраняющей металл от атмосферной коррозии.">фосфатированное</abbr> покрытие, которое защищает ее от коррозии.<LI>Стержень отвертки намагничен для лучшего удержания крепежа.<LI>Трехкомпонентная рукоятка эргономичной формы.<LI>Инструмент снабжен подвесной картой, удобной для размещения на стенде.</UL><p><span class="addt">||/img/pic/instr/small/era12070.jpg|/img/pic/instr/big/era12070.jpg
#0|Отвертка крестовая MATRIX "Era" PH 1 х  75 мм        |256|12054   | 69| 66| 62
#0|Отвертка крестовая MATRIX "Era" PH 2 х 100 мм        |256|12060   | 89| 85| 81
#0|Отвертка крестовая MATRIX "Era" PH 3 х 150 мм        |256|12066   |129|122|118
#0|Отвертка плоская   MATRIX "Era" SL 3 х  75 мм        |256|12070   | 46| 42| 40
#0|Отвертка плоская   MATRIX "Era" SL 6 х 100 мм        |256|12082   | 92| 88| 84
#1|Отвертки плоские   HARDAX "Multipoint"               |256|        | 44| 42| 39,90||norow|Отвертки плоские| HARDAX "Multipoint"|</span></p><UL><LI>Стержень из хромованадиевой стали с оксидированным намагниченным наконечником.<LI>Двухкомпонентная рукоятка эргономичной формы.</UL><p><span class="addt">||/img/pic/instr/small/33-0-700.jpg|/img/pic/instr/big/33-0-700.jpg
#0|Отвертка плоская   HARDAX "Multipoint" SL 3 х 100 мм |256|33-0-700| 44| 42| 39,90||
#0|Отвертка плоская   HARDAX "Multipoint" SL 5 х 200 мм |256|33-0-702| 64| 62| 59,90||
#1|Отвертки                                             |256|12025   | 25| 25| 25||norow sale1|||||/img/pic/instr/small/OTVERTKI EURO new.jpg|/img/pic/instr/big/OTVERTKI EURO new.jpg
#0|Отвертка крестовая EURO CrV PH 1 х 100 мм            |256|12025   |21,25|21,25|21,25
#0|Отвертка крестовая EURO CrV PH 1 х 150 мм            |256|12027   |24,65|24,65|24,65
#0|Отвертка крестовая Expert CrV PH 1 х 100 мм          |256|11628   |24,65|24,65|24,65
#0|Отвертка крестовая Expert CrV PH 3 х 150 мм          |256|11638   |24,65|24,65|24,65
#0|Отвертка крестовая MATRIX PH 1 х 100 мм              |256|12244   |24,65|24,65|24,65
#0|Отвертка плоская   MATRIX SL 6.0 х 200 мм            |256|11418   |29,75|29,75|29,75
#0|Отвертка крестовая NOX PH1 х 100 мм                  |256|560203  |24,65|24,65|24,65
#0|Отвертка крестовая NOX PH2 х  38 мм                  |256|560201  |24,65|24,65|24,65
#0|Отвертка крестовая NOX PH3 х 150 мм                  |256|560205  |24,65|24,65|24,65
#0|Отвертка плоская   NOX SL 5.5 х  38 мм               |256|560301  |24,65|24,65|24,65
#0|Отвертка плоская   NOX SL 6.5 х 125 мм               |256|560305  |24,65|24,65|24,65
#0|Отвертка плоская   SPARTA "Point" SL 6 х 100 мм      |256|11768   |28,05|28,05|28,05
#0|Отвертка крестовая НИЗ оцинкованная PH 3 х 200 мм    |256|ON30.200|33,15|33,15|33,15
#0|Отвертка крестовая БАРС (Германия) PH 1 х 150 мм     |256|19023   |28,05|28,05|28,05
#0|Отвертка крестовая БАРС (Германия) PH 2 х 100 мм     |256|19025   |28,05|28,05|28,05
#0|Отвертка крестовая БАРС (Германия) PH 3 х 150 мм     |256|19029   |56,10|56,10|56,10
#0|Отвертка плоская   БАРС (Германия) SL 4 х 100 мм     |256|19003   |65,45|65,45|65,45
#0|Отвертка плоская   БАРС (Германия) SL 8 х 200 мм     |256|19017   |84,15|84,15|84,15
#0|Отвертка плоская   HARDAX "Ultra"  SL 3.2 х  75 мм   |256|33-0-604|50,15|50,15|50,15

#0|Отвертка плоская   NOX SL 8.0 х 150 мм               |256|560307  | 29| 29| 29
#0|Отвертка плоская   SPARTA "Point" SL 5 х 100 мм      |256|11766 | 35| 33| 31|
#0|Отвертка крестовая SPARTA "Point" PH 2 х 100 мм      |256|11778 | 45| 42| 40
#0|Отвертка крестовая SPARTA "Point" PH 2 х 150 мм      |256|11780 | 46| 42| 40
#0|Отвертка крестовая БАРС (Германия) PH 2 х 150 мм     |256|19027 | 55| 55| 55
#0|Отвертка плоская БАРС (Германия) SL 5 х 150 мм       |256|19007 | 77| 77| 77
#0|Отвертка плоская БАРС (Германия) SL 6 х 150 мм       |256|19013 | 95| 95| 95
#1|Отвертка крестовая SPARTA "Point" PH 1 х 150&nbsp;мм      |256|11766 |129|120|115||norow|Отвертки| SPARTA "Point" CrV|</span></p><UL><LI>Жало отвертки индукционно закалено, намагничено и имеет <abbr title="Фосфатирование - создание химическим путём на поверхности металлических изделий плёнки нерастворимых фосфатов, предохраняющей металл от атмосферной коррозии.">фосфатированное</abbr> покрытие. <LI>Стержень из качественной хромванадиевой стали имеет никелированное покрытие, устойчивое к воздействию коррозии. Твердость рабочей части 50-52 HRC.<LI>Двухкомпонентная рукоятка эргономичной формы, разработанная с целью увеличения передачи крутящего момента и снижения нагрузки на запястье, обеспечивает удобство при продолжительной работе.</UL><p><span class="addt">||/img/pic/instr/small/sp11766.jpg|/img/pic/instr/big/sp11766.jpg
#1|Отвертка крестовая БАРС (Германия) PH 1 х 150&nbsp;мм     |256|19023 |129|120|115||norow sale1|Отвертки| БАРС (Германия)|</span></p><UL><LI>Прочный надежный инструмент для профессиональных работ.<LI>Жало отвертки индукционно закалено и имеет <abbr title="Фосфатирование - создание химическим путём на поверхности металлических изделий плёнки нерастворимых фосфатов, предохраняющей металл от атмосферной коррозии.">фосфатированное</abbr> покрытие. <LI>Стержень из качественной хромванадиевой стали имеет покрытие, устойчивое к коррозии.<LI>Двухкомпонентная рукоятка эргономичной формы, разработанная с целью увеличения передачи крутящего момента и снижения нагрузки на запястье, обеспечивает удобство при продолжительной работе.</UL><p><span class="addt">||/img/pic/instr/small/19007h.jpg|/img/pic/instr/big/jpg
